indice_tiempo,par_origen_destino,viajes,asientos,pasajeros
2019,Rosario - Pergamino,51,1333,1028
2019,Rosario - Pilar,63,1935,1680
2019,Rosario - Salta,90,5032,4447
2019,Rosario - Salto,476,9072,4733
2019,Rosario - San Carlos De Bariloche,88,5114,4398
2019,Rosario - San Nicolas,212,7484,6192
2019,Rosario - San Pedro,794,17742,12724
2019,Rosario - San Rafael,63,3640,2962
2019,Rosario - Santa Rosa De Calamunchita,79,3841,3319
2019,Rosario - Termas De Rio Hondo,79,4713,3818
2019,Rosario - Tigre,228,10345,9541
2019,Rosario - Victoria,788,18789,16882
2019,Rosario - Villa Alpina,143,2815,2602
2019,Rosario - Villa Carlos Paz,449,23861,19740
2019,Saladillo - Ciudad Autonoma De Buenos Aires,1419,28836,18787
2019,Salta - Aguas Blancas,90,2165,1640
2019,Salta - Cafayate,52,1153,930
2019,Salta - Ciudad Autonoma De Buenos Aires,703,39708,32748
2019,Salta - Hornocal,135,2378,1938
2019,Salta - Humahuaca,3435,70998,63172
2019,Salta - Purmamarca,258,4972,3749
2019,Salta - Quilmes,183,5538,4909
2019,Salta - Salar Del Hombre Muerto,99,1789,1296
2019,Salta - Salinas Grande,80,1405,1286
2019,Salta - Salinas Grandes,3194,63186,57561
2019,Salta - Salta,155,1850,1721
2019,Salta - San Miguel De Tucuman,232,9433,7818
